timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
100803157,100803055,0.084341325,-0.015546359,-0.02071039,0.79050195,0.0,0.0,0.0,-1.0
100807238,100807124,0.12992671,-0.035774305,-0.026907258,0.79050195,0.0,0.0,0.0,-1.0
100811964,100811855,0.10472576,-0.017383255,-0.027510075,0.79050195,0.0,0.0,0.0,-1.0
100813567,100813463,0.087189354,-0.026938407,-0.041601747,0.79050195,0.0,0.0,0.0,-1.0
100817563,100817454,0.13290824,-0.029214397,-0.037444197,0.79050195,0.0,0.0,0.0,-1.0
100819960,100819856,0.12546085,-0.013354664,-0.0039811963,0.79050195,0.0,0.0,0.0,-1.0
100824001,100823899,0.105433084,-0.033640563,-0.0038949952,0.86466235,0.0,0.0,0.0,-1.0
100827958,100827854,0.12462308,-0.014917656,-0.018164448,0.86466235,0.0,0.0,0.0,-1.0
100831238,100831063,0.09244945,-0.021266414,0.017755765,0.86466235,0.0,0.0,0.0,-1.0
100837566,100837455,0.10799612,-0.018356785,-0.034714617,0.86466235,0.0,0.0,0.0,-1.0
100855963,100855860,0.10746248,-0.02547016,0.025083577,0.9217543,0.0,0.0,0.0,-1.0
100861559,100861455,0.117116384,-0.033423364,-0.042821627,0.9217543,0.0,0.0,0.0,-1.0
100863158,100863056,0.10503101,-0.03510391,-0.011708078,0.9217543,0.0,0.0,0.0,-1.0
100867163,100867060,0.13135237,-0.043868035,0.030032001,0.9527735,0.0,0.0,0.0,-1.0
100869556,100869454,0.124394536,-0.043355264,-0.042810686,0.9527735,0.0,0.0,0.0,-1.0
100873624,100873463,0.12267742,-0.05087226,0.054307327,0.9527735,0.0,0.0,0.0,-1.0
100876772,100876669,0.13739385,-0.05315639,-0.01852732,0.9527735,0.0,0.0,0.0,-1.0
100880766,100880654,0.13454908,-0.053372722,0.0047871983,0.96765476,0.0,0.0,0.0,-1.0
100885586,100885480,0.14155184,-0.072619885,-0.013963867,0.96765476,0.0,0.0,0.0,-1.0
100887156,100887054,0.12940949,-0.08285072,-0.023554973,0.96765476,0.0,0.0,0.0,-1.0
100891249,100891129,0.15476519,-0.07263662,0.063620366,0.96765476,0.0,0.0,0.0,-1.0
100894401,100894264,0.13948815,-0.08852208,-0.02328274,0.96765476,0.0,0.0,0.0,-1.0
100900757,100900655,0.16107272,-0.07832974,0.01748572,0.96765476,0.0,0.0,0.0,-1.0
100901574,100901463,0.1616885,-0.08694024,0.015572307,0.96765476,0.0,0.0,0.0,-1.0
100904763,100904654,0.15207446,-0.086248435,0.000653089,0.9789623,0.0,0.0,0.0,-1.0
100908769,100908654,0.16479161,-0.08375107,0.015062013,0.9789623,0.0,0.0,0.0,-1.0
100911176,100911074,0.14971714,-0.10393426,-0.022272857,0.9789623,0.0,0.0,0.0,-1.0
100915157,100915055,0.16722,-0.09021994,0.064216055,0.9789623,0.0,0.0,0.0,-1.0
100919163,100919054,0.14994901,-0.10862964,-0.021061309,0.9789623,0.0,0.0,0.0,-1.0
100924799,100924697,0.17227975,-0.085324176,0.018045088,0.9789623,0.0,0.0,0.0,-1.0
100925580,100925456,0.16866368,-0.085712194,0.016678525,0.9789623,0.0,0.0,0.0,-1.0
100929557,100929454,0.15875518,-0.10747265,0.004952314,0.9893932,0.0,0.0,0.0,-1.0
