timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
88305551,88305551,8,41,0,0,20003,1531,1515,1671,1470,1013,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
88523270,88523270,8,41,0,0,20003,1531,1515,1774,1440,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
88717778,88717778,8,41,0,0,20003,1520,1495,1794,1441,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
88932628,88932628,8,41,0,0,20004,1528,1482,1801,1487,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
89120100,89120100,8,41,0,0,20003,1531,1454,1667,1484,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
89337628,89337628,8,41,0,0,20004,1521,1478,1231,1512,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
89529663,89529663,8,41,0,0,20003,1516,1492,1116,1559,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
89743258,89743258,8,41,0,0,20004,1512,1500,1173,1502,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
89935831,89935831,8,41,0,0,20003,1507,1512,1554,1455,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
90149852,90149852,8,41,0,0,20003,1506,1512,1728,1468,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
90341135,90341135,8,41,0,0,20003,1506,1514,1813,1483,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
90532813,90532813,8,41,0,0,20003,1512,1514,1764,1447,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
90742463,90742463,8,41,0,0,20003,1526,1504,1116,1477,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
90956115,90956115,8,41,0,0,20003,1530,1509,1116,1424,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
91144065,91144065,8,41,0,0,20003,1558,1477,1701,1446,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
91357998,91357998,8,41,0,0,20003,1579,1454,1781,1459,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
91551295,91551295,8,41,0,0,20003,1610,1456,1645,1479,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
91765517,91765517,8,41,0,0,20003,1533,1516,1338,1322,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
91959025,91959025,8,41,0,0,20003,1508,1515,1116,1409,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
92171725,92171725,8,41,0,0,20003,1507,1516,1372,1358,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
92368015,92368015,8,41,0,0,20003,1514,1512,1801,1423,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
92560021,92560021,8,41,0,0,20003,1505,1515,1818,1389,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
92775724,92775724,8,41,0,0,20003,1508,1503,1847,1408,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
92985657,92985657,8,41,0,0,20004,1517,1435,1727,1400,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
93179393,93179393,8,41,0,0,20003,1521,1401,1403,1513,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
93387256,93387256,8,41,0,0,20004,1512,1464,1202,1512,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
93582446,93582446,8,41,0,0,20003,1517,1502,1116,1512,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
93790641,93790641,8,41,0,0,20004,1529,1514,1336,1512,1012,1512,1512,1530,0,0,0,0,0,0,0,0,0,0,0,0,2
93984616,93984616,8,41,0,0,20003,1548,1515,1596,1503,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
94197701,94197701,8,41,0,0,20003,1571,1517,1697,1482,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
94385662,94385662,8,41,0,0,20003,1572,1517,1785,1472,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
94597320,94597320,8,41,0,0,20003,1557,1517,1809,1483,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
94790546,94790546,8,41,0,0,20004,1538,1515,1798,1460,1013,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
94985771,94985771,8,41,0,0,20004,1536,1515,1721,1438,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
95200961,95200961,8,41,0,0,20003,1537,1514,1116,1452,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
