timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
127958854,0.9991082,0.02745873,0.0035911517,0.03187489,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127962902,0.99897826,0.03022655,0.0038191746,0.033382043,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127966854,0.9988314,0.033321343,0.0041000303,0.034765884,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127970882,0.99868375,0.03618584,0.004552488,0.036066208,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127978857,0.99830914,0.043251343,0.0054410743,0.038453735,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127982854,0.9981078,0.04674157,0.006116194,0.039480034,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127986854,0.9978634,0.050838392,0.006718563,0.040483836,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127990854,0.9975919,0.055127155,0.007496427,0.041415345,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127994854,0.9973035,0.059438486,0.008404753,0.042217527,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
127998892,0.9969729,0.06412487,0.009248559,0.04298258,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128002871,0.9965952,0.06915027,0.010255358,0.043716453,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128006854,0.9961982,0.074195266,0.011222006,0.044252686,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128010854,0.995747,0.07954725,0.0123021705,0.04481987,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128014854,0.99522424,0.08541909,0.013346572,0.045322116,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128018882,0.9946774,0.09118078,0.014434626,0.045768052,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
128022854,0.99407524,0.0971569,0.015507183,0.046201892,0.9982244,-4.731546e-10,2.6917017e-11,-0.05956671,3
